id,TÊN THỰC PHẨM,calories,water_g,protein_g,fats_g,carbs_g,fiber_g
1,Bánh bao chiên có nhân,177,66.9,2.3,10.1,19.31,1.7
2,Bánh bao nhân thịt,276,43.2,10.4,10.8,34.3,0.9
3,Bánh bèo,118,75.3,1.8,4.2,18.15,0.6
4,Bánh bích cốt,349,12,12.3,1.3,72.1,0.8
5,Bánh bích quy,378,10.4,8.8,4.5,75.6,0.5
6,Bánh bột lọc,137,69.9,6.8,4.3,17.74,0.6
7,Bánh chả,399,8,3.4,6.6,81.5,1.0
8,Bánh chay,156,64.7,3.3,3.1,28.71,0.4
9,Bánh chín tầng mây,169,58.2,0.2,0.6,40.77,0.1
10,Bánh chưng,181,59.1,4.3,4.2,31.6,0.6
11,Bánh chuối,297,42.9,2.0,14.2,40.34,0.1
12,Bánh cốm,250,37.1,3.4,0.3,58.5,1.1
13,Bánh con cá,369,10,7.5,2.2,79.8,0.2
14,Bánh cuốn,129,73.2,3.0,5.3,17.4,0.6
15,Bánh cuốn nóng nhân thịt,102,76.6,2.1,2.6,17.65,0.3
16,Bánh đa nem,335,15,4.0,0.2,79.4,0.5
17,Bánh đậu xanh,420,6.8,15.6,11.5,63.5,1.1
18,Bánh dẻo nhân thập cẩm,349,24.6,5.0,9.8,60.3,0.9
19,Bánh dẻo nhân trứng,338,25.4,7.4,8.2,58.6,1.1
20,Bánh đúc,52,86.8,0.9,0.3,11.4,0.1
21,Bánh đúc nguội,88,79,2.0,2.1,15.36,0.7
22,Bánh đúc nóng,108,79.8,3.9,6.3,8.95,0.1
23,Bánh gai,251,39.3,4.7,2.5,52.3,0.4
24,Bánh gio,173,56.6,2.0,0.4,40.44,0.4
25,Bánh giò,234,62.3,2.8,17.5,16.3,0.6
26,Bánh kem xốp,506,1.9,8.3,24.0,64.2,3.5
27,Bánh khảo chay,377,5.8,3.2,0.3,90.4,0.2
28,Bánh khoai,141,65.5,4.1,1.6,27.64,0.5
29,Bánh khoái,159,72.1,0.6,10.2,16.26,3.0
30,Bánh khoai sọ chiên,197,60,5.6,8.3,24.9,0.2
31,Bánh khúc,249,41.6,4.1,3.8,49.7,0.6
32,Bánh mè,482,12,5.5,26.5,55.42,1.1
